user_a,user_b,log_retweet
billg,barrettmarson,0.0
barrettmarson,AdamSandler,0.0
billg,AdamSandler,0.0
billg,DICKS,0.0
DICKS,AZCardinals,0.0
billg,AZCardinals,0.0
billg,North32nd,0.0
North32nd,LocalFirstAZ,0.0
billg,LocalFirstAZ,0.0
billg,maricopacounty,1.791759469228055
maricopacounty,repjohnlewis,1.791759469228055
billg,repjohnlewis,1.791759469228055
billg,pochovolador,0.0
pochovolador,WillNovak13,0.0
pochovolador,elviadiaz1,0.0
pochovolador,Eugene_Scott,0.0
pochovolador,CaseyNewton,0.0
pochovolador,maryjpitzl,0.0
pochovolador,dustingardiner,0.0
pochovolador,ByLynhBui,0.0
pochovolador,scottwongDC,0.0
billg,WillNovak13,0.0
WillNovak13,elviadiaz1,0.0
WillNovak13,Eugene_Scott,0.0
WillNovak13,CaseyNewton,0.0
WillNovak13,maryjpitzl,0.0
WillNovak13,dustingardiner,0.0
WillNovak13,ByLynhBui,0.0
WillNovak13,scottwongDC,0.0
billg,elviadiaz1,0.0
elviadiaz1,Eugene_Scott,0.0
elviadiaz1,CaseyNewton,0.0
elviadiaz1,maryjpitzl,0.0
elviadiaz1,dustingardiner,0.0
elviadiaz1,ByLynhBui,0.0
elviadiaz1,scottwongDC,0.0
billg,Eugene_Scott,0.0
Eugene_Scott,CaseyNewton,0.0
Eugene_Scott,maryjpitzl,0.0
Eugene_Scott,dustingardiner,0.0
Eugene_Scott,ByLynhBui,0.0
Eugene_Scott,scottwongDC,0.0
billg,CaseyNewton,0.0
CaseyNewton,maryjpitzl,0.0
CaseyNewton,dustingardiner,0.0
CaseyNewton,ByLynhBui,0.0
CaseyNewton,scottwongDC,0.0
billg,maryjpitzl,0.0
maryjpitzl,dustingardiner,0.0
maryjpitzl,ByLynhBui,0.0
maryjpitzl,scottwongDC,0.0
billg,dustingardiner,0.0
dustingardiner,ByLynhBui,0.0
dustingardiner,scottwongDC,0.0
billg,ByLynhBui,0.0
ByLynhBui,scottwongDC,0.0
billg,scottwongDC,0.0
billg,dbseiden,0.0
dbseiden,BSKaufmann,0.0
dbseiden,RubenGallego,0.0
billg,BSKaufmann,0.0
BSKaufmann,RubenGallego,0.0
billg,RubenGallego,0.0
billg,BSKaufmann,0.0
BSKaufmann,dbseiden,0.0
BSKaufmann,RubenGallego,0.0
billg,dbseiden,0.0
dbseiden,RubenGallego,0.0
billg,RubenGallego,0.0
billg,MariaHechanova,1.6094379124341003
billg,catherinereagor,2.6390573296152584
billg,SteveMartos,1.791759469228055
SteveMartos,VitalantAZ,1.791759469228055
billg,VitalantAZ,1.791759469228055
billg,marcorubio,1.9459101490553132
marcorubio,maricopacounty,1.9459101490553132
billg,maricopacounty,1.9459101490553132
billg,Twitter,0.0
billg,wxphx,0.0
wxphx,JimCantore,0.0
wxphx,JimCantore,0.0
wxphx,wxphx,0.0
billg,JimCantore,0.0
JimCantore,JimCantore,0.0
JimCantore,wxphx,0.0
billg,JimCantore,0.0
JimCantore,wxphx,0.0
billg,wxphx,0.0
billg,DrFinchDVUSD,0.0
DrFinchDVUSD,DVUSD,0.0
billg,DVUSD,0.0
billg,maricopacounty,0.6931471805599453
billg,DrJesseWelsh,0.0
billg,maricopacounty,0.0
billg,FCDFloodInfo,0.0
billg,jpittsaz,1.6094379124341003
jpittsaz,ASUCollegeGOP,1.6094379124341003
billg,ASUCollegeGOP,1.6094379124341003
billg,maricopacounty,0.0
billg,dougducey,3.044522437723423
