tweet_id,tweet_text,date,user_id,user_mentions,retweet_count
1322196856852475906,Be careful in #moonvalley this morning - vehicle struck traffic signal at 7th Street &amp; Coral Gables - northbound traffic down to one lane @azfamily https://t.co/YL6D10XNGP,10/30/2020,56179256,"[{'screen_name': 'azfamily', 'name': 'azfamily 3TV CBS 5', 'id': 10025982, 'id_str': '10025982', 'indices': [142, 151]}]",1
1321928537830404096,RT @Steve_Gallardo: Thank you Supervisor @billgatesaz for standing up against racism.  We can not and will not tolerate a candidate in our,10/29/2020,56179256,"[{'screen_name': 'Steve_Gallardo', 'name': 'Supervisor Steve Gallardo', 'id': 305946514, 'id_str': '305946514', 'indices': [3, 18]}, {'screen_name': 'billgatesaz', 'name': 'Bill Gates', 'id': 56179256, 'id_str': '56179256', 'indices': [41, 53]}]",5
1321561088513642496,Thank you @ArizonaCoyotes for your partnership with @MaricopaVote to give @maricopacounty residents a convenient way to vote https://t.co/eKi8udahh7,10/28/2020,56179256,"[{'screen_name': 'ArizonaCoyotes', 'name': 'Arizona Coyotes', 'id': 20006987, 'id_str': '20006987', 'indices': [10, 25]}, {'screen_name': 'MaricopaVote', 'name': 'Maricopa County Elections Department', 'id': 1197230562332700672, 'id_str': '1197230562332700672', 'indices': [52, 65]}, {'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [74, 89]}]",1
1321538583799369729,"@JimSmall @KloverKorner Actually, I never endorsed him.",10/28/2020,56179256,"[{'screen_name': 'JimSmall', 'name': 'Jim Small', 'id': 25398286, 'id_str': '25398286', 'indices': [0, 9]}, {'screen_name': 'KloverKorner', 'name': 'Michael Irish', 'id': 3016688592, 'id_str': '3016688592', 'indices': [10, 23]}]",1
1321525131756236800,"I strongly condemn the words and actions of Michael Irish, candidate for Moon Valley Justice of the Peace. There is no place for racism in our community.",10/28/2020,56179256,[],12
1321488971780640768,Congratulations @CityofPhoenixAZ - @maricopacounty is up next. Our sesquicentennial is in 2021. https://t.co/g6N598dLrc,10/28/2020,56179256,"[{'screen_name': 'CityofPhoenixAZ', 'name': 'City of Phoenix, AZ', 'id': 518082918, 'id_str': '518082918', 'indices': [16, 32]}, {'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [35, 50]}]",0
1321448606344249344,Definitely put a jacket on if you are headed outside but it feels great! https://t.co/zBgB0qsUFP,10/28/2020,56179256,[],0
1321239554045571073,Thanks @jpittsaz! https://t.co/iotEYXoy9S,10/27/2020,56179256,"[{'screen_name': 'jpittsaz', 'name': 'Joe Pitts', 'id': 1015100760252485633, 'id_str': '1015100760252485633', 'indices': [7, 16]}]",1
1321140814899302402,There's nothing more rewarding about local government service than getting to support fantastic neighborhood leaders like @CordermanJill   https://t.co/kguKlHMKnl,10/27/2020,56179256,"[{'screen_name': 'CordermanJill', 'name': 'Jill Corderman Hicks', 'id': 2670513044, 'id_str': '2670513044', 'indices': [122, 136]}]",1
1321128996206047233,From the neighborhoods on the far west side of @AZGOPLD28 - thx for supporting me and @KateMcGeeAZ! https://t.co/wdrgfWDkZA,10/27/2020,56179256,"[{'screen_name': 'AZGOPLD28', 'name': 'AZ LD28 Republicans', 'id': 878775358652207105, 'id_str': '878775358652207105', 'indices': [47, 57]}, {'screen_name': 'KateMcGeeAZ', 'name': 'Kate Brophy McGee', 'id': 103057647, 'id_str': '103057647', 'indices': [86, 98]}]",2
1320795554637512704,Thanks @KathyPetsas - I am grateful for your support! https://t.co/ondXLeGrKx,10/26/2020,56179256,"[{'screen_name': 'KathyPetsas', 'name': 'Kathy Petsas', 'id': 994108687185670144, 'id_str': '994108687185670144', 'indices': [7, 19]}]",0
1320747418342756352,What a beautiful morning in @maricopacounty @NWSPhoenix https://t.co/w3l3ARd3rx,10/26/2020,56179256,"[{'screen_name': 'maricopacounty', 'name': 'Maricopa County', 'id': 119502308, 'id_str': '119502308', 'indices': [28, 43]}, {'screen_name': 'NWSPhoenix', 'name': 'NWS Phoenix', 'id': 589349263, 'id_str': '589349263', 'indices': [44, 55]}]",1
1320569652037124099,"RT @AZCardinals: We've got ourselves a ballgame.

 #SNF on NBC https://t.co/Gm7jq8kdPY",10/26/2020,56179256,"[{'screen_name': 'AZCardinals', 'name': 'Arizona Cardinals', 'id': 389038362, 'id_str': '389038362', 'indices': [3, 15]}]",61
1320536506037981184,Go @AZCardinals! https://t.co/H4MpA2DtjN,10/26/2020,56179256,"[{'screen_name': 'AZCardinals', 'name': 'Arizona Cardinals', 'id': 389038362, 'id_str': '389038362', 'indices': [3, 15]}]",1
1320530387508969472,"RT @MarthaMcSally: .@KathyPetsas and @billgatesaz were out knocking on doors and talking to voters yesterday!

It's this kind of work tha",10/26/2020,56179256,"[{'screen_name': 'MarthaMcSally', 'name': 'Martha McSally', 'id': 2964949642, 'id_str': '2964949642', 'indices': [3, 17]}, {'screen_name': 'KathyPetsas', 'name': 'Kathy Petsas', 'id': 994108687185670144, 'id_str': '994108687185670144', 'indices': [20, 32]}, {'screen_name': 'billgatesaz', 'name': 'Bill Gates', 'id': 56179256, 'id_str': '56179256', 'indices': [37, 49]}]",64
1320107052937715712,This is why I do what I do. https://t.co/8ThqoNk3BS,10/24/2020,56179256,[],0
